Опыт r13  
Масштаб: 0.4358974358974359 (см/пикс)  

_______Частица №1_______  
Время горения: 0.76 (с)  
Диаметр: - (мкм)  
Время от начала съёмки (с)     Расстояние до трубки (см)  
4.84     4.79 (Первое появление)  
4.88     10.46  
4.92     16.56  
4.96     21.79  
5.00     31.82  
5.04     40.97  
5.08     51.44  
5.12     61.46  
5.16     70.62  
5.20     79.77  
5.24     90.67 (Догорела в полёте)  

_______Частица №2_______  
Время горения: 0.56 (с)  
Диаметр: - (мкм)  
Время от начала съёмки (с)     Расстояние до трубки (см)  
5.20     6.10 (Первое появление)  
5.24     11.77  
5.28     19.18  
5.32     27.03  
5.36     35.74  
5.40     44.46  
5.44     54.49  
5.48     64.95  
5.52     76.28  
5.56     87.18  
5.60     99.38  
5.64     109.85  
5.68     121.62  
5.72     133.82  
5.76     144.72 (Догорела в полёте)  

_______Частица №3_______  
Время горения: 1.72 (с)  
Диаметр: 699 (мкм)  
Время от начала съёмки (с)     Расстояние до трубки (см)  
5.52     4.79 (Первое появление)  
5.56     10.03  
5.60     16.56  
5.64     25.72  
5.68     34.00  
5.72     43.15  
5.76     53.18  
5.80     63.21  
5.84     74.10  
5.88     85.00  
5.92     95.90  
5.96     109.41  
6.00     120.74  
6.04     132.95  
6.08     144.72  
6.12     157.36  
6.16     169.56  
6.20     181.33  
6.24     193.97  
6.28     205.74  
6.32     217.51 (Удар о поддон)  
7.24     218.38 (Догорела на поддоне)  

_______Частица №4_______  
Время горения: 1.64 (с)  
Диаметр: 689 (мкм)  
Время от начала съёмки (с)     Расстояние до трубки (см)  
5.84     6.10 (Первое появление)  
5.88     12.21  
5.92     17.87  
5.96     25.28  
6.00     32.69  
6.04     40.97  
6.08     49.69  
6.12     59.28  
6.16     68.87  
6.20     78.46  
6.24     89.79  
6.28     100.69  
6.32     112.03  
6.36     123.36  
6.40     134.69  
6.44     145.59  
6.48     157.36  
6.52     168.69  
6.56     180.03  
6.60     191.79  
6.64     202.69  
6.68     214.03  
6.72     223.62 (Удар о поддон)  
7.48     221.44 (Догорела на поддоне)  

data
4.84	4.79
4.88	10.46
4.92	16.56
4.96	21.79
5.00	31.82
5.04	40.97
5.08	51.44
5.12	61.46
5.16	70.62
5.20	79.77
5.24	90.67

5.20	6.10
5.24	11.77
5.28	19.18
5.32	27.03
5.36	35.74
5.40	44.46
5.44	54.49
5.48	64.95
5.52	76.28
5.56	87.18
5.60	99.38
5.64	109.85
5.68	121.62
5.72	133.82
5.76	144.72

5.52	4.79
5.56	10.03
5.60	16.56
5.64	25.72
5.68	34.00
5.72	43.15
5.76	53.18
5.80	63.21
5.84	74.10
5.88	85.00
5.92	95.90
5.96	109.41
6.00	120.74
6.04	132.95
6.08	144.72
6.12	157.36
6.16	169.56
6.20	181.33
6.24	193.97
6.28	205.74
6.32	217.51
7.24	218.38

5.84	6.10
5.88	12.21
5.92	17.87
5.96	25.28
6.00	32.69
6.04	40.97
6.08	49.69
6.12	59.28
6.16	68.87
6.20	78.46
6.24	89.79
6.28	100.69
6.32	112.03
6.36	123.36
6.40	134.69
6.44	145.59
6.48	157.36
6.52	168.69
6.56	180.03
6.60	191.79
6.64	202.69
6.68	214.03
6.72	223.62
7.48	221.44
