Опыт r29
Масштаб 0.43157894736842106 (см/пикс)

_______Частица №4_______
Время горения: 1.44 (c)
Диаметр 494 (мкм)
Время от начала съёмки(с)     Расстояние до трубки(см)
4.44 				5.18 (Первое появление)
4.48 				10.79
4.52                              16.85
4.56                              23.31
4.6                              30.21
4.64                              37.55
4.68                              45.32
4.72                              53.09
4.76                              60.86
4.8                              69.06
4.84                              77.26
4.88                              85.46
4.92                              93.66
4.96                              101.86
5.0                              109.63
5.04                              117.83
5.08                              126.46
5.12                              134.66
5.16                              143.29
5.2                              151.49
5.24                              160.12
5.28                              168.75
5.32                              177.38
5.36                              186.02
5.4                              194.65
5.44                              202.85
5.48                              211.48
5.52                              219.68
5.56                              228.31
5.6                              239.1
5.64                              246.43
5.68                              253.77
5.72                              262.4
5.76                              268.44 (Удар о поддон)
5.8                              269.31
5.84                              268.44
5.88                              268.44 (Догорел на поддоне)

_______Частица №5_______
Время горения: 0.92 (c)
Диаметр - 
Время от начала съёмки(с)     Расстояние до трубки(см)
4.92 				4.75 (Первое появление)
4.96 				9.06
5.0 				15.54
5.04                              22.44
5.08                              29.35
5.12                              37.13
5.16                              44.89
5.2                              53.09
5.24                              61.73
5.28                              70.79
5.32                              79.86
5.36                              89.79
5.4                              99.29
5.44                              109.22
5.48                              119.15
5.52                              129.51
5.56                              139.86
5.6                              150.22
5.64                              160.58
5.68                              170.5
5.72                              177.4
5.76 				191.19
5.8 				202.84
5.84 				212.34 (Догорела в полёте)
 
_______Частица №7_______
Время горения: 1.64 (c)
Диаметр 603 (мкм)
Время от начала съёмки(с)     Расстояние до трубки(см)
5.68				 6.91 (Первое появление)
5.72 				12.52
5.76 				19.85
5.8                              26.41
5.84                              34.16
5.88                              42.33
5.92                              50.96
5.96                              60.01
6.0                              69.5
6.04                              78.99
6.08                              88.48
6.12                              97.98
6.16                              107.47
6.2                              117.39
6.24                              127.32
6.28                              137.24
6.32                              147.17
6.36                              157.53
6.4                              167.89
6.44                              178.25
6.48                              188.17
6.52                              198.53
6.56                              208.46
6.6                              218.38
6.64                              228.31
6.68                              238.67
6.72                              248.16
6.76                              258.52
6.8                              269.31 (Удар о поддон)
6.84                              271.47
6.88                              271.03
6.92                              270.6
6.96                              270.17
7.0                              269.74
7.04                              269.31
7.08                              268.87
7.12                              268.87
7.16                              268.87
7.2                              268.87
7.24                              268.87
7.28                              268.87
7.32                              268.87
7.64                              268.87 (Догорела на поддоне)

data
4.44	5.18
4.48	10.79
4.52	16.85
4.56	23.31
4.6	30.21
4.64	37.55
4.68	45.32
4.72	53.09
4.76	60.86
4.8	69.06
4.84	77.26
4.88	85.46
4.92	93.66
4.96	101.86
5.0	109.63
5.04	117.83
5.08	126.46
5.12	134.66
5.16	143.29
5.2	151.49
5.24	160.12
5.28	168.75
5.32	177.38
5.36	186.02
5.4	194.65
5.44	202.85
5.48	211.48
5.52	219.68
5.56	228.31
5.6	239.1
5.64	246.43
5.68	253.77
5.72	262.4
5.76	268.44
5.8	269.31
5.84	268.44
5.88	268.44

4.92	4.75
4.96	9.06
5.0	15.54
5.04	22.44
5.08	29.35
5.12	37.13
5.16	44.89
5.2	53.09
5.24	61.73
5.28	70.79
5.32	79.86
5.36	89.79
5.4	99.29
5.44	109.22
5.48	119.15
5.52	129.51
5.56	139.86
5.6	150.22
5.64	160.58
5.68	170.5
5.72	177.4
5.76	191.19
5.8	202.84
5.84	212.34

5.68	6.91
5.72	12.52
5.76	19.85
5.8	26.41
5.84	34.16
5.88	42.33
5.92	50.96
5.96	60.01
6.0	69.5
6.04	78.99
6.08	88.48
6.12	97.98
6.16	107.47
6.2	117.39
6.24	127.32
6.28	137.24
6.32	147.17
6.36	157.53
6.4	167.89
6.44	178.25
6.48	188.17
6.52	198.53
6.56	208.46
6.6	218.38
6.64	228.31
6.68	238.67
6.72	248.16
6.76	258.52
6.8	269.31
6.84	271.47
6.88	271.03
6.92	270.6
6.96	270.17
7.0	269.74
7.04	269.31
7.08	268.87
7.12	268.87
7.16	268.87
7.2	268.87
7.24	268.87
7.28	268.87
7.32	268.87
7.64	268.87
