Опыт r9  
Масштаб: 0.5248554913294797 (см/пикс)  

_______Частица №1_______  
Время горения: 2.16 (с)  
Диаметр: 757 (мкм)  
Время от начала съёмки (с)     Расстояние до трубки (см)  
3.16     3.15  
3.20     7.87  
3.24     12.60  
3.28     18.40  
3.32     25.74  
3.36     34.13  
3.40     42.53  
3.44     52.50  
3.48     62.47  
3.52     73.49  
3.56     85.03  
3.60     96.58  
3.64     108.65  
3.68     121.25  
3.72     133.84  
3.76     146.96  
3.80     160.08  
3.84     173.73  
3.88     187.37  
3.92     201.02  
3.96     215.72  
4.00     229.89  
4.04     245.11  
4.08     259.80  
4.12     275.03  
4.16     289.72  
4.20     304.94  
4.24     319.64 (Удар о поддон)  
5.32     319.64 (Догорела на поддоне)  

_______Частица №2_______  
Время горения: 0.44 (с)  
Диаметр: - (мкм)  
Время от начала съёмки (с)     Расстояние до трубки (см)  
3.72     4.20 (Первое появление)  
3.76     9.45  
3.80     13.65  
3.84     19.94  
3.88     26.77  
3.92     34.12  
3.96     42.51  
4.00     50.91  
4.04     59.31  
4.08     69.28  
4.12     78.73  
4.16     87.65 (Догорела в полёте)  

data
3.16	3.15
3.20	7.87
3.24	12.60
3.28	18.40
3.32	25.74
3.36	34.13
3.40	42.53
3.44	52.50
3.48	62.47
3.52	73.49
3.56	85.03
3.60	96.58
3.64	108.65
3.68	121.25
3.72	133.84
3.76	146.96
3.80	160.08
3.84	173.73
3.88	187.37
3.92	201.02
3.96	215.72
4.00	229.89
4.04	245.11
4.08	259.80
4.12	275.03
4.16	289.72
4.20	304.94
4.24	319.64

3.72	4.20
3.76	9.45
3.80	13.65
3.84	19.94
3.88	26.77
3.92	34.12
3.96	42.51
4.00	50.91
4.04	59.31
4.08	69.28
4.12	78.73
4.16	87.65
